externalId,tag
f1131cd7-d902-43ab-a085-6eadf7b53acd,Berlin
f816a769-17d0-43cd-90bc-af0c48da1e65,(Keine Auswahl)
7c136296-1999-43ee-949e-63fc29617f06,Berlin
44737d87-9f81-411c-b996-9931ff2a109d,Peking
78c3f1c7-5099-4a02-a968-665ff4b983ef,(Keine Auswahl)
593e888f-5b33-467f-bf29-ae131c5584d1,(Keine Auswahl)
8a10bc78-da9e-4a76-974e-3f37775a9e57,(Keine Auswahl)
6b9af11a-1294-5c3f-ad6c-6af331f76c3a,(Keine Auswahl)
04bbdbc8-e75c-5de6-9efd-4d1adfdb047a,(Keine Auswahl)
a30105c4-a640-42ac-be8c-ab73f298e664,(Keine Auswahl)
f5ca66e6-9c62-5938-8e4e-a7967626df46,(Keine Auswahl)
7f61f07b-46be-4c56-867b-88c356c1b5d5,(Keine Auswahl)
d6da0eda-49ae-4357-b6e7-979d8ce5945d,(Keine Auswahl)
ff5ade70-6458-539a-9335-e9cd83d6dbd8,(Keine Auswahl)
23613224-9d52-593f-879a-83bebb22ce83,(Keine Auswahl)
ebc009c3-94f1-493c-8467-572ea7ad2c86,Berlin
14d2d7ca-8e10-5add-ab73-1a817e809861,(Keine Auswahl)
3fee7a70-072b-4cbb-a15b-e73be72c0037,(Keine Auswahl)
d130ed17-07aa-448a-81bf-7caf3225f2b0,(Keine Auswahl)
60d97cef-c3af-53ce-b33d-37c915780f2b,(Keine Auswahl)
ebf33fdb-c5bd-4e0d-8fc5-4e46971fd3c8,Berlin
b4b35e0e-43f6-5767-9712-c442fad5490f,(Keine Auswahl)
14363e42-2c2e-49d3-a0be-e5a0590c0e75,Berlin
1471befc-2b3e-533a-b0ff-c45d335820b3,(Keine Auswahl)
1380c877-4bcf-4f13-83a0-f0d2c1cf0d45,(Keine Auswahl)
94ac4e9d-3acc-4e10-b88f-46542f1bbc7b,(Keine Auswahl)
7bdc5132-6897-54be-951c-5f92fef35c5f,(Keine Auswahl)
631bb7b9-b8ac-5f7f-8f02-5a3bcf5bcd70,(Keine Auswahl)
fd439f38-0694-5f1e-b7db-f0cca26c0a0f,(Keine Auswahl)
405cae58-0993-4105-817c-e9d53e2e0da7,(Keine Auswahl)
4a066563-b9f7-4a50-8341-d4a0b7b7e2ef,(Keine Auswahl)
28401494-886c-4386-83e0-4677188762e7,Brüssel
fd7e99b0-2b6d-595a-bb7c-560ae1e88b0b,(Keine Auswahl)
adf1899d-47d5-463c-824d-181d07f236f3,(Keine Auswahl)
ba89e5a2-1fa8-59bb-84ea-847dc9000d6a,(Keine Auswahl)
563070a3-01b1-42e5-9e9c-a9422c092004,(Keine Auswahl)
a4662df7-4a0b-5b49-be91-e8d00eecbd61,(Keine Auswahl)
f454ee4b-2a32-4f7b-a8c8-de405f202b78,(Keine Auswahl)
233623f8-2812-43ae-a758-da7681d58e85,Mariupol
a44d516e-df4a-43d6-97cc-f546cd76c0eb,Mainz
2e750c52-14ba-58a8-bd05-de23952764f2,(Keine Auswahl)
1253b64e-264a-5d07-8dce-58dcdf847d77,(Keine Auswahl)
7f723771-f803-4524-a900-26df7ddb1a91,(Keine Auswahl)
b04ba037-2aa2-4ad0-bf10-9853e76d77ac,(Keine Auswahl)
14441aea-0788-57a8-bac0-f73aa7bcc443,(Keine Auswahl)
58218e64-ae3b-5b9e-a7d5-085fffb5a055,(Keine Auswahl)
43681051-2ecf-5044-a4c7-ad37dda6c29f,(Keine Auswahl)
7af6efb1-1912-4ac2-8793-fa7d363d93f7,(Keine Auswahl)
21e8f915-f682-44b2-90b7-6303e3e54dd5,Lemberg
752f1db5-dbd6-4102-b3a1-1e4bc3595c5b,München
ee38a510-cd4c-43ae-96d9-ef8ba47bf88f,(Keine Auswahl)
1ec470a0-5b37-40c2-bd6b-490c2e792698,(Keine Auswahl)
613c627e-57ca-5fc0-b35a-9e6e0ef4ac82,(Keine Auswahl)
f04d1438-b25b-408b-9617-a3b55a168c46,(Keine Auswahl)
